ID	adj.P.Val	P.Value	logFC	GeneSymbol
CUST_27893_PI429545402	0.3626	1.91E-03	-5.68E-01	
CUST_35722_PI429545380	0.3626	1.91E-03	-8.72E-01	
CUST_22957_PI429545399	0.3626	1.92E-03	-8.04E-01	
A_23_P161297	0.3626	1.92E-03	-1.28	
A_23_P170213	0.3626	1.93E-03	-4.80E-01	NKAIN2
CUST_42610_PI429545395	0.3626	1.93E-03	-6.02E-01	
A_23_P147255	0.3626	1.93E-03	9.76E-01	PCBP3
CUST_28633_PI429545376	0.3626	1.94E-03	-2.57	
CUST_17453_PI429545410	0.3626	1.95E-03	6.52E-01	
A_33_P3406505	0.3626	1.95E-03	-5.92E-01	ELL
A_23_P29769	0.3679	1.98E-03	3.98E-01	WWTR1
A_33_P3360271	0.3679	1.99E-03	5.60E-01	EVX2
A_23_P339652	0.3679	1.99E-03	-4.22E-01	TAS2R40
A_24_P49383	0.3679	2.01E-03	-5.98E-01	
A_24_P942112	0.3679	2.02E-03	8.08E-01	POLR1B
CUST_14491_PI429545388	0.3679	2.03E-03	-5.94E-01	
CUST_41459_PI429545395	0.3679	2.03E-03	-5.30E-01	
CUST_36603_PI429545376	0.3679	2.03E-03	1.35	
CUST_36305_PI429545406	0.3679	2.03E-03	5.00E-01	
CUST_18595_PI429545388	0.3679	2.04E-03	-6.38E-01	
CUST_4449_PI429545380	0.3679	2.04E-03	5.24E-01	
A_32_P126557	0.3687	2.05E-03	-7.06E-01	RGS6
A_23_P310410	0.3713	2.07E-03	1.57	
A_23_P75310	0.3721	2.09E-03	4.46E-01	ARHGAP22
CUST_41963_PI429545410	0.3721	2.10E-03	-1.21	
CUST_13892_PI429545376	0.3721	2.10E-03	-7.60E-01	
A_23_P154643	0.3721	2.10E-03	-7.80E-01	BMP7
CUST_40414_PI429545402	0.3721	2.10E-03	-8.62E-01	
CUST_18813_PI429545410	0.3737	2.12E-03	-5.00E-01	
A_33_P3375541	0.376	2.13E-03	-4.56E-01	
A_33_P3343196	0.378	2.15E-03	1.38	CP
CUST_1862_PI429545376	0.3786	2.16E-03	-1.14	
A_33_P3232334	0.3787	2.18E-03	-5.08E-01	
A_33_P3389558	0.3787	2.18E-03	-7.44E-01	
A_23_P147563	0.3787	2.18E-03	-5.28E-01	PPM1L
A_33_P3368201	0.3787	2.19E-03	1.17	LOC643711
CUST_29820_PI429545388	0.3787	2.19E-03	8.26E-01	
CUST_37163_PI429545376	0.3799	2.21E-03	-7.66E-01	
CUST_11521_PI429545399	0.3799	2.21E-03	-9.02E-01	
A_33_P3371247	0.3799	2.21E-03	-1.1	
CUST_27312_PI429545399	0.3807	2.23E-03	6.28E-01	
A_23_P121011	0.3807	2.24E-03	1.27	CSRNP1
CUST_11828_PI429545406	0.3807	2.24E-03	4.94E-01	
CUST_36635_PI429545406	0.3807	2.25E-03	-7.04E-01	
A_24_P99090	0.3807	2.25E-03	8.58E-01	CKAP2
CUST_33413_PI429545410	0.3807	2.26E-03	7.08E-01	
CUST_17498_PI429545406	0.3807	2.26E-03	6.52E-01	
CUST_14580_PI429545402	0.3807	2.27E-03	5.44E-01	
CUST_22765_PI429545410	0.3807	2.27E-03	-6.68E-01	
CUST_38655_PI429545406	0.3807	2.28E-03	-1.55	
CUST_20023_PI429545376	0.3812	2.29E-03	-6.84E-01	
A_33_P3252083	0.3812	2.29E-03	-6.22E-01	GRIP1
CUST_33407_PI429545399	0.3819	2.30E-03	9.72E-01	
A_23_P139527	0.3825	2.31E-03	5.56E-01	HPD
A_33_P3377199	0.3825	2.33E-03	-7.10E-01	PRDX1
A_32_P3534	0.3825	2.33E-03	-7.22E-01	PGPEP1L
CUST_33044_PI429545399	0.3825	2.34E-03	-6.98E-01	
CUST_43975_PI429545410	0.3825	2.34E-03	3.60E-01	
A_23_P419714	0.3825	2.35E-03	-9.40E-01	
CUST_29519_PI429545399	0.3825	2.36E-03	4.48E-01	
CUST_36145_PI429545402	0.3825	2.36E-03	-5.00E-01	
A_33_P3246883	0.3825	2.36E-03	-4.28E-01	
A_33_P3538104	0.3825	2.37E-03	-5.18E-01	LOC283854
A_23_P71053	0.3825	2.37E-03	4.20E-01	MPP6
CUST_27743_PI429545384	0.3825	2.38E-03	-7.42E-01	
A_23_P211504	0.3837	2.39E-03	7.34E-01	KDELR3
A_24_P212481	0.3837	2.40E-03	6.84E-01	MCTP1
A_21_P0011527	0.3839	2.41E-03	8.34E-01	CCDC144A
CUST_17132_PI429545388	0.3839	2.41E-03	6.26E-01	
CUST_33608_PI429545376	0.3839	2.42E-03	-7.44E-01	
CUST_45284_PI429545406	0.3839	2.42E-03	-5.54E-01	
CUST_23959_PI429545406	0.3856	2.44E-03	4.40E-01	
A_33_P3263317	0.3858	2.45E-03	6.08E-01	
CUST_23408_PI429545402	0.3858	2.45E-03	4.60E-01	
A_23_P391443	0.3858	2.47E-03	1	PPM1H
CUST_1253_PI429545384	0.3858	2.47E-03	4.74E-01	
CUST_17004_PI429545380	0.3858	2.49E-03	-5.88E-01	
A_23_P69089	0.3858	2.50E-03	-1.23	
A_23_P11995	0.3858	2.51E-03	-7.28E-01	PRDX1
CUST_42484_PI429545399	0.3858	2.52E-03	-6.96E-01	
A_23_P250619	0.3858	2.52E-03	-6.60E-01	ZDHHC14
A_24_P152398	0.3858	2.52E-03	-6.40E-01	TP53AIP1
CUST_26499_PI429545406	0.3858	2.53E-03	4.32E-01	
CUST_2090_PI429545406	0.3858	2.53E-03	2.72	
A_33_P3263359	0.3858	2.54E-03	-5.46E-01	DGKA
A_33_P3369864	0.3858	2.54E-03	-6.18E-01	
A_24_P935986	0.3858	2.54E-03	1.26	BCAT1
A_24_P215765	0.3858	2.55E-03	6.24E-01	ATP10A
A_33_P3342081	0.3858	2.55E-03	1.13	PRDM1
A_23_P76749	0.3858	2.55E-03	-1.06	GALNTL1
A_32_P190416	0.3858	2.57E-03	9.02E-01	MAP7
A_23_P257231	0.3858	2.57E-03	-9.64E-01	AGXT2L1
CUST_36922_PI429545380	0.3858	2.57E-03	-4.18E-01	
