ID	adj.P.Val	P.Value	logFC	GeneSymbol
CUST_26146_PI429545410	0.9616	8.63E-01	-6.60E-02	
A_33_P3299958	0.9616	8.63E-01	-6.80E-02	
CUST_22653_PI429545410	0.9616	8.63E-01	4.60E-02	
CUST_36275_PI429545406	0.9616	8.63E-01	-7.00E-02	
A_24_P118938	0.9616	8.63E-01	-4.60E-02	C20orf112
CUST_35961_PI429545395	0.9616	8.63E-01	2.80E-02	
A_23_P1320	0.9616	8.63E-01	7.00E-02	
A_24_P83379	0.9616	8.63E-01	-2.40E-02	WDFY3
CUST_20094_PI429545402	0.9616	8.63E-01	4.40E-02	
CUST_42035_PI429545380	0.9616	8.63E-01	7.20E-02	
CUST_22187_PI429545399	0.9616	8.63E-01	-3.20E-02	
CUST_41855_PI429545380	0.9616	8.63E-01	3.00E-02	
CUST_25657_PI429545384	0.9616	8.63E-01	-8.00E-02	
A_24_P58673	0.9616	8.63E-01	3.60E-02	REG4
CUST_1894_PI429545410	0.9616	8.63E-01	-2.60E-02	
A_23_P252106	0.9616	8.63E-01	2.20E-02	
A_33_P3673310	0.9616	8.63E-01	-3.20E-02	
A_33_P3247644	0.9616	8.63E-01	3.80E-02	
A_33_P3278122	0.9616	8.63E-01	-2.40E-02	
A_23_P74162	0.9616	8.63E-01	-2.20E-02	IQCC
CUST_38632_PI429545380	0.9616	8.63E-01	-1.80E-02	
CUST_38327_PI429545384	0.9616	8.63E-01	-3.80E-02	
CUST_41984_PI429545399	0.9616	8.63E-01	-3.80E-02	
CUST_33208_PI429545376	0.9616	8.63E-01	1.26E-01	
A_23_P78835	0.9617	8.63E-01	2.40E-02	ZNF787
A_33_P3244194	0.9617	8.63E-01	-3.60E-02	PTPLB
A_23_P154256	0.9617	8.63E-01	2.20E-02	
A_33_P3223874	0.9617	8.63E-01	3.20E-02	
A_33_P3411427	0.9617	8.63E-01	-2.20E-02	ZNF837
CUST_39274_PI429545402	0.9617	8.63E-01	-5.40E-02	
CUST_17743_PI429545388	0.9617	8.63E-01	-3.20E-02	
CUST_33293_PI429545410	0.9617	8.63E-01	5.40E-02	
A_23_P254688	0.9617	8.63E-01	2.80E-02	
CUST_28170_PI429545395	0.9617	8.63E-01	3.60E-02	
A_33_P3303372	0.9617	8.63E-01	2.40E-02	PARD3
A_23_P65797	0.9617	8.63E-01	-2.40E-02	KLHL25
CUST_39282_PI429545380	0.9617	8.63E-01	3.80E-02	
CUST_10272_PI429545402	0.9617	8.63E-01	2.60E-02	
A_33_P3546363	0.9617	8.63E-01	1.60E-02	
A_23_P413224	0.9617	8.63E-01	2.20E-02	NCR2
A_33_P3354067	0.9617	8.63E-01	2.20E-02	
A_33_P3400918	0.9617	8.64E-01	-3.00E-02	
A_33_P3301381	0.9617	8.64E-01	-1.60E-02	RBM43
A_19_P00804924	0.9617	8.64E-01	-3.60E-02	
A_19_P00318444	0.9617	8.64E-01	-3.60E-02	Q37NU8
A_21_P0014036	0.9617	8.64E-01	-2.00E-02	C12orf28
CUST_24451_PI429545399	0.9617	8.64E-01	2.80E-02	
A_23_P129367	0.9617	8.64E-01	2.40E-02	CCDC135
A_23_P154235	0.9617	8.64E-01	-5.00E-02	
CUST_18027_PI429545395	0.9617	8.64E-01	1.80E-02	
A_33_P3227506	0.9617	8.64E-01	5.00E-02	BPTF
A_23_P421401	0.9618	8.64E-01	-3.20E-02	PDGFRB
A_24_P73075	0.9618	8.64E-01	-3.40E-02	TTC12
CUST_16468_PI429545388	0.9618	8.64E-01	-2.20E-02	
CUST_14426_PI429545399	0.9618	8.64E-01	-3.80E-02	
CUST_13025_PI429545406	0.9618	8.64E-01	-3.40E-02	
A_33_P3297606	0.9619	8.64E-01	2.60E-02	PLSCR2
A_33_P3396492	0.9619	8.64E-01	-2.60E-02	CDH24
A_33_P3243399	0.9619	8.64E-01	-9.20E-02	
A_23_P122876	0.962	8.64E-01	-1.80E-02	
A_24_P237389	0.962	8.64E-01	3.40E-02	EIF1AX
CUST_24068_PI429545376	0.962	8.64E-01	3.60E-02	
CUST_34054_PI429545376	0.962	8.64E-01	-2.20E-02	
CUST_13138_PI429545376	0.962	8.64E-01	5.20E-02	
CUST_44035_PI429545410	0.962	8.64E-01	6.40E-02	
CUST_35887_PI429545388	0.9621	8.64E-01	-4.20E-02	
A_23_P159671	0.9621	8.64E-01	-2.80E-02	PHKA2
CUST_24281_PI429545395	0.9621	8.64E-01	6.80E-02	
A_23_P78170	0.9621	8.64E-01	-1.80E-02	MYBBP1A
A_33_P3345439	0.9621	8.64E-01	3.40E-02	
CUST_27843_PI429545402	0.9621	8.64E-01	4.40E-02	
A_23_P65386	0.9621	8.64E-01	-2.40E-02	OTUB2
A_33_P3655646	0.9621	8.64E-01	-5.00E-02	LOC100130354
CUST_41319_PI429545410	0.9621	8.64E-01	-2.60E-02	
A_33_P3386429	0.9621	8.64E-01	3.40E-02	SENP6
CUST_22088_PI429545402	0.9621	8.64E-01	6.60E-02	
CUST_1488_PI429545376	0.9621	8.64E-01	3.20E-02	
A_33_P3367855	0.9621	8.64E-01	3.40E-02	PIK3R2
A_23_P31844	0.9621	8.64E-01	2.60E-02	ATP6V1B2
CUST_17317_PI429545395	0.9621	8.64E-01	5.40E-02	
CUST_23381_PI429545395	0.9621	8.64E-01	3.80E-02	
CUST_35845_PI429545406	0.9621	8.64E-01	3.60E-02	
CUST_27173_PI429545388	0.9621	8.64E-01	-3.20E-02	
CUST_23869_PI429545406	0.9621	8.65E-01	2.00E-02	
A_24_P84657	0.9621	8.65E-01	-2.40E-02	MUC2
CUST_14864_PI429545406	0.9621	8.65E-01	-6.20E-02	
A_23_P51126	0.9621	8.65E-01	-5.20E-02	IL1RL1
A_23_P161338	0.9621	8.65E-01	-3.60E-02	PPA1
A_24_P406132	0.9622	8.65E-01	3.20E-02	MAPK13
CUST_33174_PI429545384	0.9622	8.65E-01	-4.40E-02	
CUST_23919_PI429545406	0.9622	8.65E-01	2.00E-02	
CUST_4529_PI429545380	0.9622	8.65E-01	-3.40E-02	
CUST_35802_PI429545380	0.9622	8.65E-01	5.80E-02	
CUST_27663_PI429545388	0.9622	8.65E-01	2.60E-02	
A_33_P3261700	0.9622	8.65E-01	2.40E-02	ANKRD13C
A_33_P3375145	0.9622	8.65E-01	5.80E-02	C9orf150
A_24_P96474	0.9622	8.65E-01	2.20E-02	
A_23_P256663	0.9622	8.65E-01	1.80E-02	GALR3
A_21_P0000156	0.9622	8.65E-01	2.60E-02	TLL1
A_32_P460757	0.9622	8.65E-01	-5.60E-02	TAAR6
A_23_P256231	0.9622	8.65E-01	-3.20E-02	FBXO30
CUST_23659_PI429545406	0.9622	8.65E-01	2.00E-02	
A_24_P8109	0.9622	8.65E-01	-5.00E-02	ANO9
CUST_32089_PI429545406	0.9622	8.65E-01	2.40E-02	
CUST_1220_PI429545410	0.9622	8.65E-01	-2.80E-02	
A_24_P58331	0.9622	8.65E-01	3.20E-02	DCAKD
A_33_P3336780	0.9623	8.65E-01	5.00E-02	
A_23_P17673	0.9623	8.65E-01	4.20E-02	DNMT3L
CUST_17493_PI429545410	0.9623	8.65E-01	3.20E-02	
CUST_4442_PI429545410	0.9623	8.65E-01	3.80E-02	
A_23_P345175	0.9623	8.65E-01	-4.80E-02	CCDC63
CUST_1970_PI429545406	0.9623	8.65E-01	3.00E-02	
A_32_P25050	0.9623	8.65E-01	3.20E-02	RDH10
CUST_17443_PI429545410	0.9623	8.65E-01	2.00E-02	
CUST_25243_PI429545410	0.9623	8.65E-01	-3.60E-02	
A_33_P3284266	0.9623	8.65E-01	3.80E-02	CXCL6
A_24_P254084	0.9623	8.65E-01	3.20E-02	
CUST_17645_PI429545395	0.9623	8.65E-01	-3.60E-02	
CUST_10754_PI429545388	0.9623	8.65E-01	3.80E-02	
A_24_P366566	0.9623	8.65E-01	3.60E-02	OR5H1
A_33_P3377391	0.9623	8.65E-01	5.00E-02	
A_33_P3237891	0.9623	8.65E-01	-2.40E-02	CHN2
A_24_P203134	0.9623	8.65E-01	2.20E-02	DCAF12L1
A_23_P88119	0.9623	8.65E-01	3.60E-02	HSPH1
CUST_45206_PI429545376	0.9623	8.65E-01	5.00E-02	
CUST_44635_PI429545395	0.9623	8.65E-01	-2.20E-02	
A_33_P3221761	0.9623	8.65E-01	2.00E-02	MLL4
A_33_P3352782	0.9623	8.65E-01	-2.40E-02	TMCO7
CUST_1549_PI429545388	0.9623	8.65E-01	-2.40E-02	
CUST_39253_PI429545410	0.9623	8.65E-01	3.00E-02	
CUST_35135_PI429545406	0.9623	8.65E-01	-4.20E-02	
CUST_24678_PI429545402	0.9623	8.65E-01	-4.40E-02	
CUST_38762_PI429545380	0.9624	8.65E-01	2.80E-02	
A_24_P124988	0.9624	8.65E-01	-2.20E-02	GOLGA6A
CUST_17658_PI429545376	0.9624	8.65E-01	-2.40E-02	
CUST_41935_PI429545380	0.9624	8.66E-01	2.40E-02	
A_33_P3304516	0.9624	8.66E-01	-4.20E-02	ZNFX1
CUST_19659_PI429545406	0.9624	8.66E-01	-3.20E-02	
A_24_P335901	0.9624	8.66E-01	3.40E-02	ZNF266
A_33_P3330683	0.9624	8.66E-01	2.60E-02	
A_23_P218646	0.9624	8.66E-01	2.60E-02	TNFRSF6B
CUST_30591_PI429545395	0.9624	8.66E-01	3.60E-02	
CUST_32171_PI429545380	0.9624	8.66E-01	-4.20E-02	
CUST_27192_PI429545399	0.9624	8.66E-01	1.60E-02	
A_33_P3231613	0.9624	8.66E-01	-1.80E-02	CSAG3
CUST_31726_PI429545402	0.9624	8.66E-01	-2.20E-02	
CUST_16214_PI429545402	0.9624	8.66E-01	-6.80E-02	
A_33_P3265016	0.9624	8.66E-01	-2.40E-02	
CUST_12875_PI429545406	0.9624	8.66E-01	6.60E-02	
A_24_P410100	0.9624	8.66E-01	2.80E-02	
CUST_22913_PI429545410	0.9624	8.66E-01	1.00E-01	
A_33_P3362193	0.9624	8.66E-01	-3.40E-02	RAD23A
A_23_P332908	0.9624	8.66E-01	-2.40E-02	ZFC3H1
CUST_1213_PI429545384	0.9624	8.66E-01	5.00E-02	
A_33_P3417950	0.9624	8.66E-01	-3.40E-02	
CUST_38607_PI429545388	0.9624	8.66E-01	4.60E-02	
A_33_P3251582	0.9624	8.66E-01	-2.80E-02	
CUST_33428_PI429545376	0.9625	8.66E-01	3.60E-02	
CUST_30706_PI429545402	0.9625	8.66E-01	-6.20E-02	
CUST_15677_PI429545395	0.9625	8.66E-01	-5.60E-02	
CUST_34984_PI429545376	0.9625	8.66E-01	2.20E-02	
A_33_P3225250	0.9625	8.66E-01	2.40E-02	ALKBH3
A_23_P377141	0.9625	8.66E-01	-3.20E-02	VPS13A
A_23_P171249	0.9625	8.66E-01	2.60E-02	IGBP1
A_21_P0000192	0.9625	8.66E-01	2.00E-02	TGIF1
CUST_10822_PI429545376	0.9625	8.66E-01	2.20E-02	
CUST_16640_PI429545410	0.9625	8.66E-01	7.60E-02	
A_24_P6825	0.9625	8.66E-01	-2.20E-02	
A_33_P3380932	0.9625	8.66E-01	-2.00E-02	ZNF800
A_32_P206293	0.9625	8.66E-01	-2.80E-02	ZNF322
CUST_41575_PI429545376	0.9625	8.66E-01	6.60E-02	
CUST_12343_PI429545410	0.9625	8.66E-01	-2.00E-02	
A_33_P3382324	0.9625	8.66E-01	-7.20E-02	TPSD1
CUST_36557_PI429545388	0.9625	8.66E-01	-2.80E-02	
A_23_P169178	0.9625	8.66E-01	2.40E-02	TESK1
A_21_P0010986	0.9625	8.66E-01	-3.00E-02	
A_24_P148151	0.9625	8.66E-01	-2.40E-02	TSNAX
A_32_P206899	0.9625	8.66E-01	2.40E-02	
CUST_37486_PI429545399	0.9625	8.66E-01	-2.80E-02	
CUST_12780_PI429545384	0.9625	8.66E-01	-2.60E-02	
CUST_23813_PI429545410	0.9625	8.66E-01	3.80E-02	
A_23_P141394	0.9625	8.66E-01	3.20E-02	WIPI1
CUST_15764_PI429545402	0.9625	8.66E-01	2.40E-02	
CUST_29626_PI429545388	0.9625	8.66E-01	6.80E-02	
A_33_P3364808	0.9625	8.66E-01	3.00E-02	PTPRC
A_23_P31109	0.9626	8.66E-01	2.00E-02	C6orf72
A_23_P250156	0.9626	8.66E-01	-3.40E-02	
A_33_P3374205	0.9626	8.66E-01	5.80E-02	MKI67
A_23_P72096	0.9626	8.67E-01	-3.00E-02	IL1A
A_32_P59678	0.9627	8.67E-01	2.20E-02	C7orf46
A_33_P3213204	0.9627	8.67E-01	-2.20E-02	MAGEF1
A_23_P377339	0.9627	8.67E-01	3.80E-02	C4orf36
A_23_P251259	0.9627	8.67E-01	3.00E-02	GTF2H4
A_23_P216094	0.9627	8.67E-01	2.60E-02	ASPH
CUST_12328_PI429545406	0.9627	8.67E-01	-3.80E-02	
CUST_12989_PI429545380	0.9627	8.67E-01	-3.80E-02	
A_24_P34155	0.9628	8.67E-01	1.02E-01	RUNX1
CUST_22251_PI429545380	0.9628	8.67E-01	1.08E-01	
CUST_33696_PI429545402	0.9628	8.67E-01	2.00E-02	
A_23_P210708	0.9628	8.67E-01	-2.40E-02	SIRPA
CUST_39636_PI429545399	0.9629	8.67E-01	-1.08E-01	
A_33_P3387656	0.9629	8.67E-01	3.60E-02	
CUST_18906_PI429545395	0.9629	8.67E-01	-6.60E-02	
A_24_P199484	0.963	8.67E-01	-3.80E-02	
A_23_P351734	0.963	8.67E-01	7.80E-02	NPHP4
A_33_P3851513	0.963	8.67E-01	-2.20E-02	LIN54
A_33_P3241393	0.963	8.67E-01	2.40E-02	SLC4A5
A_23_P253012	0.963	8.67E-01	-7.00E-02	GRAMD1C
CUST_21963_PI429545410	0.963	8.67E-01	6.60E-02	
A_33_P3261982	0.963	8.67E-01	2.40E-02	PRIM2
A_33_P3375720	0.963	8.67E-01	3.80E-02	
CUST_29959_PI429545399	0.963	8.67E-01	-2.00E-02	
CUST_19964_PI429545402	0.963	8.67E-01	-2.20E-02	
A_23_P152428	0.963	8.67E-01	3.60E-02	MARVELD3
A_23_P39050	0.963	8.67E-01	-4.00E-02	ZNF823
A_24_P55225	0.963	8.67E-01	3.00E-02	RSPH9
A_23_P214658	0.963	8.67E-01	-2.00E-02	PBX2
CUST_38797_PI429545384	0.963	8.67E-01	-4.00E-02	
CUST_25251_PI429545380	0.963	8.67E-01	-1.80E-02	
CUST_12621_PI429545399	0.963	8.67E-01	-2.00E-02	
A_24_P365349	0.963	8.67E-01	3.20E-02	CACNG7
A_23_P352291	0.963	8.67E-01	2.60E-02	SRSF10
CUST_34315_PI429545406	0.963	8.67E-01	5.80E-02	
CUST_11236_PI429545384	0.963	8.67E-01	-2.00E-02	
A_23_P91283	0.963	8.67E-01	-3.40E-02	
A_24_P942904	0.963	8.67E-01	4.40E-02	
CUST_33751_PI429545395	0.9631	8.67E-01	-5.00E-02	
CUST_41044_PI429545402	0.9631	8.67E-01	-3.40E-02	
A_23_P13885	0.9631	8.68E-01	-2.00E-02	ATN1
CUST_19207_PI429545399	0.9631	8.68E-01	2.40E-02	
CUST_43858_PI429545402	0.9631	8.68E-01	-4.40E-02	
CUST_2560_PI429545410	0.9631	8.68E-01	5.40E-02	
CUST_41404_PI429545402	0.9631	8.68E-01	-3.00E-02	
CUST_35372_PI429545380	0.9632	8.68E-01	-4.20E-02	
A_33_P3405474	0.9632	8.68E-01	2.20E-02	
A_33_P3372640	0.9632	8.68E-01	2.60E-02	
A_21_P0009932	0.9632	8.68E-01	-3.60E-02	PLCB1
A_24_P115700	0.9632	8.68E-01	-2.20E-02	COX15
A_33_P3378925	0.9632	8.68E-01	3.60E-02	RBM14
CUST_32181_PI429545380	0.9632	8.68E-01	-8.00E-02	
A_33_P3318611	0.9632	8.68E-01	2.00E-02	LOC100131907
A_23_P34606	0.9632	8.68E-01	2.00E-02	MTOR
A_33_P3273063	0.9632	8.68E-01	2.00E-02	
A_23_P16908	0.9632	8.68E-01	-2.20E-02	DHX57
CUST_24019_PI429545406	0.9632	8.68E-01	-5.00E-02	
A_33_P3409467	0.9633	8.68E-01	2.20E-02	GCGR
CUST_16564_PI429545395	0.9633	8.68E-01	-2.20E-02	
A_23_P154522	0.9633	8.68E-01	1.80E-02	MTA3
A_23_P99424	0.9633	8.68E-01	3.00E-02	TPP2
CUST_26553_PI429545402	0.9633	8.68E-01	-5.40E-02	
A_33_P3247027	0.9633	8.68E-01	3.00E-02	LOC199897
CUST_23543_PI429545410	0.9633	8.68E-01	4.60E-02	
A_33_P3234124	0.9633	8.68E-01	2.60E-02	FAM132B
A_33_P3355071	0.9634	8.68E-01	-2.00E-02	MLLT10
A_33_P3254801	0.9634	8.68E-01	3.20E-02	OGFR
CUST_35135_PI429545384	0.9634	8.68E-01	-3.00E-02	
A_33_P3258061	0.9634	8.68E-01	2.60E-02	
CUST_30713_PI429545410	0.9634	8.68E-01	-2.40E-02	
CUST_10522_PI429545376	0.9634	8.68E-01	2.20E-02	
A_23_P88602	0.9634	8.68E-01	-3.80E-02	MEIS2
CUST_27081_PI429545395	0.9634	8.68E-01	1.80E-02	
A_24_P145216	0.9634	8.68E-01	-3.00E-02	
A_23_P95851	0.9634	8.68E-01	-7.20E-02	
A_23_P170733	0.9634	8.68E-01	2.40E-02	ANTXR2
CUST_12458_PI429545388	0.9634	8.68E-01	2.60E-02	
A_19_P00320517	0.9635	8.68E-01	1.80E-02	C17orf51
A_23_P126649	0.9635	8.68E-01	3.20E-02	PGBD5
A_23_P111188	0.9635	8.68E-01	-2.00E-02	ZBTB22
A_33_P3255220	0.9635	8.68E-01	3.20E-02	
A_24_P101786	0.9635	8.69E-01	-2.00E-02	
A_33_P3253209	0.9635	8.69E-01	2.60E-02	
CUST_37302_PI429545380	0.9635	8.69E-01	-7.20E-02	
A_23_P154420	0.9636	8.69E-01	-3.20E-02	HOXD12
A_33_P3345808	0.9636	8.69E-01	-5.80E-02	
CUST_12668_PI429545388	0.9636	8.69E-01	-3.00E-02	
A_24_P944320	0.9636	8.69E-01	1.80E-02	ZNF517
CUST_39525_PI429545406	0.9636	8.69E-01	-3.80E-02	
CUST_29733_PI429545376	0.9636	8.69E-01	-3.20E-02	
A_23_P372834	0.9636	8.69E-01	3.60E-02	AQP1
CUST_21158_PI429545402	0.9636	8.69E-01	1.40E-02	
CUST_4139_PI429545380	0.9636	8.69E-01	2.80E-02	
CUST_17213_PI429545384	0.9636	8.69E-01	-2.20E-02	
CUST_19691_PI429545395	0.9636	8.69E-01	3.60E-02	
CUST_26427_PI429545395	0.9636	8.69E-01	1.40E-02	
A_21_P0002474	0.9636	8.69E-01	3.20E-02	ANKRD36
A_33_P3388147	0.9636	8.69E-01	-2.40E-02	CHRNA3
CUST_29591_PI429545380	0.9636	8.69E-01	4.00E-02	
A_21_P0010776	0.9637	8.69E-01	2.80E-02	PARP8
A_23_P22444	0.9637	8.69E-01	-4.60E-02	CFP
A_23_P201376	0.9637	8.69E-01	-5.20E-02	SSX2IP
CUST_13359_PI429545380	0.9638	8.69E-01	-2.60E-02	
A_23_P114314	0.9639	8.69E-01	5.20E-02	CDX4
CUST_44355_PI429545410	0.9639	8.69E-01	-3.80E-02	
A_23_P129659	0.9639	8.69E-01	2.00E-02	
A_23_P312271	0.9639	8.69E-01	-1.80E-02	C13orf26
A_33_P3358163	0.9639	8.69E-01	4.20E-02	C15orf2
CUST_16317_PI429545399	0.9639	8.69E-01	3.80E-02	
CUST_23907_PI429545388	0.9639	8.69E-01	-2.80E-02	
A_33_P3397323	0.9639	8.69E-01	2.40E-02	ZNF441
CUST_41442_PI429545384	0.9639	8.69E-01	-2.80E-02	
A_33_P3866448	0.9639	8.69E-01	3.20E-02	LOC286299
CUST_13023_PI429545410	0.9639	8.69E-01	2.00E-02	
A_24_P414712	0.9639	8.69E-01	2.80E-02	
CUST_45310_PI429545384	0.9639	8.69E-01	-3.60E-02	
A_23_P66891	0.9639	8.69E-01	-2.40E-02	
A_23_P163113	0.9639	8.69E-01	-3.00E-02	
A_24_P406830	0.9639	8.69E-01	2.60E-02	MTMR2
A_33_P3368014	0.9639	8.69E-01	2.60E-02	
CUST_12371_PI429545399	0.9639	8.69E-01	2.60E-02	
A_23_P319874	0.964	8.69E-01	3.20E-02	
A_33_P3223378	0.964	8.70E-01	-2.80E-02	
CUST_30681_PI429545395	0.964	8.70E-01	-8.60E-02	
A_24_P179351	0.964	8.70E-01	4.00E-02	TPT1
CUST_23389_PI429545406	0.964	8.70E-01	-2.60E-02	
A_33_P3219295	0.964	8.70E-01	-2.80E-02	
CUST_2118_PI429545376	0.9641	8.70E-01	3.00E-02	
CUST_3019_PI429545380	0.9641	8.70E-01	-2.40E-02	
A_24_P252794	0.9641	8.70E-01	-2.00E-02	
A_33_P3416668	0.9641	8.70E-01	2.00E-02	
A_23_P419795	0.9641	8.70E-01	2.60E-02	
A_23_P16214	0.9641	8.70E-01	3.00E-02	
CUST_4359_PI429545388	0.9641	8.70E-01	2.00E-02	
A_23_P329798	0.9641	8.70E-01	4.20E-02	
CUST_1560_PI429545402	0.9641	8.70E-01	-3.00E-02	
CUST_31329_PI429545406	0.9641	8.70E-01	-2.40E-02	
A_24_P190541	0.9641	8.70E-01	2.80E-02	
CUST_15514_PI429545402	0.9641	8.70E-01	3.60E-02	
A_33_P3407564	0.9641	8.70E-01	4.60E-02	
A_33_P3397763	0.9641	8.70E-01	6.80E-02	
A_33_P3264042	0.9641	8.70E-01	-5.80E-02	
A_33_P3234118	0.9641	8.70E-01	-2.80E-02	FAM122B
CUST_30443_PI429545376	0.9641	8.70E-01	5.40E-02	
CUST_13229_PI429545380	0.9641	8.70E-01	-3.40E-02	
A_33_P3246598	0.9641	8.70E-01	-6.40E-02	C8orf80
A_32_P505133	0.9641	8.70E-01	-2.60E-02	C19orf47
A_21_P0013795	0.9642	8.70E-01	-2.80E-02	
A_33_P3255949	0.9642	8.70E-01	-1.40E-02	TYMP
CUST_15604_PI429545380	0.9642	8.70E-01	-2.00E-02	
CUST_28795_PI429545395	0.9642	8.70E-01	3.40E-02	
A_23_P255663	0.9643	8.70E-01	3.60E-02	MANEA
A_33_P3310894	0.9643	8.70E-01	1.40E-02	KRT40
A_23_P206792	0.9643	8.70E-01	-3.80E-02	ZNF764
CUST_1035_PI429545380	0.9643	8.70E-01	-4.20E-02	
CUST_14048_PI429545384	0.9643	8.70E-01	8.80E-02	
CUST_330_PI429545388	0.9643	8.70E-01	-1.60E-02	
A_23_P405161	0.9643	8.70E-01	1.40E-02	C7orf33
CUST_22731_PI429545395	0.9643	8.70E-01	-2.20E-02	
A_23_P201655	0.9643	8.70E-01	-3.20E-02	MYCBP
CUST_42687_PI429545388	0.9643	8.70E-01	-3.20E-02	
CUST_32774_PI429545384	0.9643	8.70E-01	2.60E-02	
CUST_38026_PI429545399	0.9643	8.70E-01	5.20E-02	
CUST_12571_PI429545399	0.9643	8.70E-01	-1.40E-02	
CUST_32816_PI429545376	0.9643	8.70E-01	6.40E-02	
A_21_P0000067	0.9643	8.70E-01	-2.80E-02	SLC34A1
A_23_P257911	0.9643	8.70E-01	3.20E-02	USP16
CUST_22781_PI429545380	0.9643	8.70E-01	-2.80E-02	
CUST_20742_PI429545376	0.9643	8.70E-01	-4.40E-02	
CUST_13687_PI429545384	0.9643	8.71E-01	5.80E-02	
CUST_34541_PI429545395	0.9643	8.71E-01	2.40E-02	
A_23_P251647	0.9643	8.71E-01	-2.40E-02	RFESD
CUST_23638_PI429545376	0.9643	8.71E-01	-3.60E-02	
CUST_11222_PI429545376	0.9643	8.71E-01	2.00E-02	
CUST_4481_PI429545406	0.9643	8.71E-01	-2.60E-02	
A_23_P19529	0.9643	8.71E-01	3.20E-02	MLN
CUST_31771_PI429545395	0.9643	8.71E-01	-2.00E-02	
A_23_P75764	0.9643	8.71E-01	-2.00E-02	OR5A1
A_23_P323943	0.9643	8.71E-01	-4.00E-02	SLC5A12
A_23_P135548	0.9643	8.71E-01	-2.40E-02	DPYD
A_33_P3356711	0.9643	8.71E-01	2.00E-02	
CUST_33492_PI429545395	0.9643	8.71E-01	-1.80E-02	
A_23_P156784	0.9643	8.71E-01	-2.80E-02	MCHR2
A_24_P40417	0.9643	8.71E-01	-3.40E-02	FMR1
A_23_P60579	0.9643	8.71E-01	-3.00E-02	MPI
CUST_42763_PI429545410	0.9643	8.71E-01	-2.40E-02	
A_33_P3312751	0.9643	8.71E-01	5.00E-02	
A_23_P92042	0.9643	8.71E-01	-3.00E-02	ITPR1
A_33_P3411388	0.9643	8.71E-01	-2.20E-02	UNCX
A_23_P157027	0.9644	8.71E-01	4.00E-02	VSTM2A
CUST_37355_PI429545402	0.9644	8.71E-01	3.40E-02	
CUST_2834_PI429545399	0.9644	8.71E-01	-2.20E-02	
A_23_P125475	0.9644	8.71E-01	-2.00E-02	GABRQ
A_23_P386420	0.9644	8.71E-01	2.20E-02	GTF2H3
CUST_24563_PI429545410	0.9644	8.71E-01	-1.40E-02	
CUST_2534_PI429545395	0.9644	8.71E-01	-3.80E-02	
CUST_32856_PI429545376	0.9644	8.71E-01	-2.40E-02	
A_33_P3265290	0.9644	8.71E-01	2.80E-02	RPL24
CUST_44235_PI429545410	0.9644	8.71E-01	-2.60E-02	
CUST_39419_PI429545376	0.9644	8.71E-01	-3.20E-02	
A_21_P0000106	0.9644	8.71E-01	1.40E-02	MTRNR2L6
CUST_17658_PI429545380	0.9644	8.71E-01	1.80E-02	
A_23_P165360	0.9644	8.71E-01	-2.40E-02	ASB1
CUST_30581_PI429545380	0.9644	8.71E-01	1.40E-02	
CUST_13661_PI429545399	0.9644	8.71E-01	-6.20E-02	
A_24_P246196	0.9644	8.71E-01	3.60E-02	
CUST_17274_PI429545376	0.9644	8.71E-01	2.40E-02	
A_33_P3238177	0.9644	8.71E-01	2.40E-02	ZNF37A
CUST_24427_PI429545384	0.9644	8.71E-01	1.40E-02	
A_23_P951	0.9644	8.71E-01	-1.60E-02	
A_33_P3378772	0.9644	8.71E-01	1.80E-02	FAM98B
A_33_P3226680	0.9644	8.71E-01	6.40E-02	
A_33_P3885084	0.9644	8.71E-01	-3.40E-02	
CUST_42063_PI429545410	0.9644	8.71E-01	4.60E-02	
A_23_P301925	0.9644	8.71E-01	-1.40E-02	COX1
A_23_P119634	0.9644	8.71E-01	-3.20E-02	UPK1A
CUST_31271_PI429545380	0.9644	8.71E-01	-2.20E-02	
CUST_39567_PI429545388	0.9644	8.71E-01	3.80E-02	
A_32_P138617	0.9644	8.71E-01	-2.60E-02	KIAA2018
A_33_P3368506	0.9644	8.71E-01	-2.60E-02	
CUST_25331_PI429545406	0.9644	8.71E-01	2.20E-02	
CUST_21793_PI429545410	0.9644	8.71E-01	2.80E-02	
CUST_43900_PI429545384	0.9644	8.71E-01	-1.80E-02	
A_21_P0000081	0.9644	8.71E-01	2.80E-02	ZFAND1
CUST_19700_PI429545380	0.9644	8.71E-01	-4.00E-02	
CUST_29078_PI429545395	0.9645	8.71E-01	2.40E-02	
CUST_43097_PI429545406	0.9645	8.71E-01	-5.40E-02	
CUST_20577_PI429545384	0.9645	8.72E-01	2.20E-02	
CUST_18046_PI429545406	0.9645	8.72E-01	2.40E-02	
CUST_34756_PI429545388	0.9645	8.72E-01	-2.00E-02	
CUST_35708_PI429545376	0.9645	8.72E-01	-4.60E-02	
CUST_35615_PI429545406	0.9645	8.72E-01	-2.20E-02	
A_33_P3771039	0.9645	8.72E-01	2.80E-02	
A_33_P3414402	0.9645	8.72E-01	1.80E-02	ZNF407
A_23_P99579	0.9645	8.72E-01	-2.40E-02	C14orf142
A_23_P145463	0.9646	8.72E-01	1.80E-02	
CUST_3199_PI429545380	0.9646	8.72E-01	-2.60E-02	
CUST_1960_PI429545406	0.9646	8.72E-01	3.20E-02	
